STATE,TYPE,NWSC,NCO,RRK,RPP,FDP,EMP,FP,PICES,PSIESC,SD,SL,SSV,PF,SCORE,RANK
MAHARASHTRA,Private,18,14,9,12,8,7,0,0,1,50,21,8,2,8.65,943
KARNATAKA,Private,10,2,9,10,4,11,0,1,7,5,4,9,1,8.65,944
MAHARASHTRA,Government,9,8,7,9,2,11,2,0,6,6,3,10,2,8.65,945
TELANGANA,Government,13,10,6,10,7,11,1,1,5,5,0,3,3,8.65,946
MADHYA PRADESH,Government,16,9,10,8,8,9,1,1,8,37,25,0,10,8.65,947
ANDHRA PRADESH,Government,6,13,10,6,3,3,0,1,1,15,13,9,9,8.63,948
TAMIL NADU,Government,13,8,13,5,1,10,1,0,4,45,2,4,6,8.63,949
WEST BENGAL,Government,12,4,7,11,2,13,1,1,8,25,12,5,10,8.63,950
MAHARASHTRA,Private,9,5,5,6,7,8,1,1,8,24,8,8,2,8.63,951
WEST BENGAL,Government,7,14,6,4,2,15,2,0,1,14,14,2,1,8.63,952
MAHARASHTRA,Government,12,12,3,13,5,9,0,1,3,6,2,8,1,8.63,953
TAMIL NADU,Private,19,7,12,6,5,14,2,1,7,18,13,0,8,8.63,954
WEST BENGAL,Government,10,7,10,10,2,11,0,1,7,23,18,8,8,8.62,955
GUJARAT,Government,12,5,8,14,4,4,0,0,6,19,9,5,5,8.62,956
ASSAM,Government,19,16,9,12,6,8,1,0,4,9,4,5,8,8.62,957
TAMIL NADU,Government,18,12,9,7,1,9,1,0,6,10,4,3,2,8.62,958
UTTAR PRADESH,Government,23,11,6,10,5,5,2,0,4,38,7,0,9,8.62,959
MAHARASHTRA,Government,19,6,4,3,5,6,0,0,3,33,9,7,3,8.62,960
UTTARAKHAND,Government,16,9,6,6,7,14,2,1,8,32,7,2,5,8.62,961
ANDHRA PRADESH,Government,15,15,9,12,6,9,1,0,2,0,0,10,9,8.6,962
ASSAM,Private,13,6,6,5,7,7,1,1,5,15,13,6,10,8.6,963
TAMIL NADU,Private,18,7,10,9,8,9,1,1,5,25,13,8,4,8.6,964
ANDHRA PRADESH,Government,17,7,9,10,1,10,1,1,7,28,13,7,2,8.6,965
MAHARASHTRA,Government,12,11,8,8,6,9,0,0,8,42,11,4,5,8.6,966
MAHARASHTRA,Private,12,4,5,9,4,7,2,1,6,32,8,8,10,8.6,967
RAJASTHAN,Government,12,4,11,11,1,13,1,1,4,10,8,2,5,8.59,968
MAHARASHTRA,Government,15,12,5,9,1,10,2,1,2,26,21,5,5,8.59,969
TAMIL NADU,Government,21,3,4,13,1,10,1,0,2,39,9,1,0,8.59,970
TAMIL NADU,Government,10,9,15,10,5,8,1,1,2,0,0,5,5,8.59,971
PUNJAB,Government,14,7,8,10,5,10,0,0,8,13,9,6,8,8.57,972
KERALA,Government,8,6,14,8,7,14,1,0,7,45,21,4,2,8.57,973
MAHARASHTRA,Government,17,10,9,3,3,7,1,0,3,18,11,1,5,8.57,974
UTTAR PRADESH,Private,16,12,9,3,2,7,2,1,6,42,10,4,7,8.57,975
UTTAR PRADESH,Private,14,14,7,14,7,4,1,1,7,12,12,10,7,8.57,976
MAHARASHTRA,Private,10,12,10,11,2,5,2,1,5,30,19,5,6,8.57,977
CHHATTISGARH,Government,8,8,9,2,3,14,1,0,6,24,15,6,8,8.56,978
ODISHA,Private,18,10,11,11,8,8,1,0,5,17,15,10,5,8.56,979
DELHI,Government,14,11,11,5,5,4,0,1,4,28,28,6,5,8.56,980
GUJARAT,Private,13,4,8,8,6,11,2,1,2,46,8,1,0,8.56,981
MAHARASHTRA,Private,21,11,5,10,3,13,2,0,5,16,16,1,5,8.56,982
ANDHRA PRADESH,Private,19,13,9,3,7,5,1,1,6,12,2,3,1,8.56,983
UTTAR PRADESH,Government,13,3,9,10,2,9,1,1,8,18,14,9,6,8.56,984
UTTAR PRADESH,Private,5,11,6,12,5,8,1,0,5,10,1,7,5,8.56,985
TELANGANA,Government,16,6,14,10,6,11,1,1,7,42,3,4,9,8.56,986
KERALA,Government,17,11,8,8,2,8,1,0,4,16,1,5,9,8.54,987
WEST BENGAL,Government,20,6,9,9,1,11,1,0,2,1,0,8,5,8.54,988
TAMIL NADU,Government,7,9,7,8,5,8,2,1,7,39,31,10,5,8.54,989
MADHYA PRADESH,Government,12,10,10,8,8,10,0,1,3,37,24,2,8,8.54,990
KERALA,Private,15,13,9,14,8,7,2,1,2,24,7,4,3,8.54,991
MAHARASHTRA,Private,16,11,9,8,4,8,0,0,2,17,13,2,9,8.54,992
TAMIL NADU,Private,12,3,4,12,2,10,2,0,4,37,14,6,9,8.52,993
KARNATAKA,Government,10,10,3,5,1,8,0,1,2,29,15,3,3,8.52,994
PUNJAB,Government,15,5,8,8,5,10,1,1,8,48,12,2,6,8.52,995
MAHARASHTRA,Government,11,8,6,5,4,4,2,0,1,34,7,0,5,8.52,996
ANDHRA PRADESH,Government,13,9,9,6,1,10,1,1,1,36,16,6,5,8.52,997
DELHI,Government,11,15,7,6,1,10,0,1,8,18,3,3,1,8.52,998
KERALA,Private,16,9,9,11,3,8,0,1,4,40,7,3,9,8.52,999
UTTAR PRADESH,Government,18,14,3,8,2,10,1,0,7,40,16,5,5,8.52,1000
MAHARASHTRA,Private,11,4,8,6,4,8,1,0,2,28,1,7,0,8.51,1001
WEST BENGAL,Government,19,10,13,15,8,11,0,1,3,6,3,7,1,8.51,1002
WEST BENGAL,Private,19,12,5,4,1,13,1,1,8,40,15,5,3,8.51,1003
PUNJAB,Private,17,12,14,9,3,6,2,0,3,26,18,1,5,8.51,1004
MAHARASHTRA,Government,13,12,7,7,3,10,2,0,4,20,16,8,0,8.51,1005
WEST BENGAL,Private,11,11,4,6,4,12,2,1,7,11,4,9,8,8.51,1006
MAHARASHTRA,Private,17,9,9,6,4,5,1,1,4,49,1,3,10,8.51,1007
MAHARASHTRA,Private,13,8,6,8,2,9,0,0,3,23,0,0,9,8.51,1008
ANDHRA PRADESH,Government,12,6,11,9,6,11,0,1,1,25,10,10,7,8.51,1009
TAMIL NADU,Private,11,14,10,8,2,6,1,0,8,16,15,6,1,8.49,1010
UTTAR PRADESH,Private,10,7,2,12,2,4,0,0,2,37,10,10,6,8.49,1011
TAMIL NADU,Government,12,10,7,10,2,9,1,1,4,2,2,5,5,8.49,1012
DELHI,Government,15,14,9,5,8,13,1,1,5,19,7,5,10,8.49,1013
MAHARASHTRA,Government,9,9,8,9,3,8,1,1,5,34,3,3,7,8.48,1014
ODISHA,Private,14,10,9,8,2,11,1,0,3,11,7,0,5,8.48,1015
KARNATAKA,Government,12,8,9,11,7,8,0,0,7,8,4,4,9,8.48,1016
ANDHRA PRADESH,Government,17,2,9,6,2,7,1,1,7,23,19,3,9,8.48,1017
TELANGANA,Private,16,10,14,6,5,6,2,1,2,10,9,9,7,8.48,1018
UTTAR PRADESH,Government,15,14,12,8,1,8,0,1,6,19,18,9,0,8.46,1019
WEST BENGAL,Government,7,8,10,8,6,6,1,1,6,37,8,10,0,8.46,1020
MAHARASHTRA,Private,12,4,8,10,2,9,0,0,6,36,30,5,8,8.46,1021
ANDHRA PRADESH,Private,20,5,3,8,3,9,2,1,2,15,0,4,9,8.46,1022
TELANGANA,Government,11,9,10,6,6,10,0,0,5,31,26,0,10,8.46,1023
ODISHA,Government,17,14,11,7,7,8,1,0,2,31,7,10,7,8.46,1024
MADHYA PRADESH,Government,7,9,10,10,2,11,2,0,2,46,3,7,2,8.46,1025
KARNATAKA,Private,14,7,10,12,7,11,2,0,6,37,8,2,4,8.46,1026
WEST BENGAL,Private,9,9,6,4,8,14,0,0,7,10,5,4,7,8.46,1027
UTTAR PRADESH,Private,20,3,3,8,7,14,1,1,5,26,2,7,7,8.46,1028
MAHARASHTRA,Government,14,9,8,16,3,14,0,1,2,49,6,4,0,8.44,1029
PONDICHERRY,Private,18,10,14,11,3,10,1,1,4,28,17,7,5,8.44,1030
UTTAR PRADESH,Private,8,4,5,8,7,11,0,1,4,50,23,2,6,8.44,1031
WEST BENGAL,Private,7,9,3,15,3,8,1,0,7,39,39,2,6,8.44,1032
KERALA,Government,16,5,13,12,2,4,1,0,5,13,6,8,1,8.43,1033
UTTAR PRADESH,Government,23,15,7,3,6,11,2,0,6,29,9,8,3,8.43,1034
UTTAR PRADESH,Government,17,10,4,4,4,9,1,1,8,24,15,0,3,8.43,1035
WEST BENGAL,Government,14,10,8,16,1,6,1,0,5,26,10,0,8,8.43,1036
MADHYA PRADESH,Government,13,8,12,12,5,9,2,1,4,6,2,1,4,8.41,1037
TAMIL NADU,Government,11,7,10,10,4,7,0,0,4,28,23,5,1,8.41,1038
JHARKHAND,Government,17,15,5,6,1,8,1,0,2,12,3,2,10,8.41,1039
UTTAR PRADESH,Government,17,3,15,13,7,11,1,0,7,14,7,7,10,8.4,1040
MAHARASHTRA,Government,7,10,6,8,6,8,1,0,2,3,1,5,6,8.4,1041
UTTAR PRADESH,Government,10,13,6,10,3,7,1,1,5,37,34,4,2,8.38,1042
WEST BENGAL,Government,11,14,5,8,3,9,0,1,2,37,3,6,5,8.38,1043
TAMIL NADU,Government,12,5,6,10,4,11,1,0,4,13,11,2,9,8.37,1044
MAHARASHTRA,Private,19,9,9,8,8,3,1,1,3,43,20,2,9,8.37,1045
UTTAR PRADESH,Private,11,8,13,10,3,7,0,1,5,24,19,4,9,8.37,1046
TAMIL NADU,Government,13,4,14,10,4,5,1,1,5,3,1,6,5,8.37,1047
KERALA,Private,7,9,3,12,3,11,1,1,4,40,12,0,3,8.37,1048
TAMIL NADU,Government,15,10,2,13,1,14,1,0,2,27,14,0,8,8.37,1049
ANDHRA PRADESH,Government,20,9,7,5,3,5,1,0,8,21,19,6,2,8.37,1050
GUJARAT,Government,7,4,10,7,5,11,2,1,6,49,5,6,0,8.37,1051
TAMIL NADU,Government,21,10,11,6,4,11,1,0,7,19,7,4,9,8.37,1052
WEST BENGAL,Government,10,13,12,4,3,5,1,1,7,7,4,8,6,8.37,1053
ANDHRA PRADESH,Government,16,14,6,3,1,9,2,0,8,21,8,9,10,8.35,1054
MAHARASHTRA,Government,13,8,11,9,1,13,1,0,1,44,12,10,1,8.35,1055
ASSAM,Government,18,8,5,10,2,10,0,1,1,46,16,9,0,8.35,1056
MAHARASHTRA,Private,12,8,10,9,6,8,1,0,6,28,24,3,4,8.35,1057
UTTAR PRADESH,Government,11,5,11,9,1,9,2,1,5,2,1,0,4,8.35,1058
TAMIL NADU,Government,17,13,13,9,8,13,2,1,2,86,1,9,1,8.35,1059
UTTAR PRADESH,Government,8,8,12,16,3,15,0,0,2,14,2,5,8,8.33,1060
TELANGANA,Government,10,13,3,10,7,9,0,1,1,32,9,10,7,8.33,1061
TELANGANA,Private,13,10,15,6,7,10,2,1,1,42,8,5,4,8.33,1062
HARYANA,Government,7,13,16,10,3,16,0,1,3,19,14,4,7,8.33,1063
KARNATAKA,Private,15,11,9,9,3,5,1,1,4,26,8,5,3,8.33,1064
TELANGANA,Private,15,12,2,15,6,7,0,0,3,3,3,10,10,8.33,1065
MAHARASHTRA,Private,18,6,3,9,4,5,2,0,6,39,25,0,0,8.33,1066
UTTAR PRADESH,Government,12,6,12,13,8,5,1,0,6,20,15,1,9,8.33,1067
MAHARASHTRA,Government,21,7,13,3,1,4,2,0,2,10,5,5,5,8.33,1068
KERALA,Government,14,4,9,3,7,13,2,1,4,11,6,6,9,8.32,1069
UTTAR PRADESH,Private,19,4,6,9,1,10,1,1,3,1,0,9,2,8.32,1070
MADHYA PRADESH,Government,7,10,15,3,6,13,2,1,6,11,3,2,1,8.32,1071
TAMIL NADU,Government,13,10,10,6,8,3,1,0,2,13,6,9,10,8.32,1072
MAHARASHTRA,Government,17,9,13,5,3,13,1,0,1,32,3,6,10,8.32,1073
PUNJAB,Government,13,5,9,9,1,3,1,0,4,36,16,6,3,8.32,1074
ANDHRA PRADESH,Government,19,4,3,7,1,10,1,1,8,31,8,1,10,8.32,1075
MAHARASHTRA,Private,12,3,13,10,5,6,1,0,6,11,10,10,2,8.32,1076
MAHARASHTRA,Government,15,13,9,3,7,8,1,1,5,11,0,4,6,8.32,1077
KERALA,Government,16,11,8,2,5,11,0,0,8,37,21,6,2,8.32,1078
UTTARAKHAND,Private,10,9,7,11,1,10,1,1,7,44,3,8,3,8.32,1079
UTTAR PRADESH,Government,17,7,5,13,4,8,2,0,8,7,4,5,2,8.3,1080
WEST BENGAL,Private,12,5,9,12,1,7,2,1,5,47,13,2,8,8.3,1081
MAHARASHTRA,Private,23,6,14,15,2,6,0,1,5,18,2,7,4,8.3,1082
MAHARASHTRA,Private,20,13,9,8,4,4,2,0,6,27,9,5,9,8.3,1083
MAHARASHTRA,Private,15,4,4,14,3,9,1,1,2,25,6,10,5,8.3,1084
RAJASTHAN,Government,13,11,16,8,7,12,0,1,4,34,26,9,10,8.3,1085
KERALA,Government,13,9,6,6,8,12,0,1,6,10,9,0,1,8.29,1086
MAHARASHTRA,Government,16,7,9,6,2,11,1,1,7,4,3,10,8,8.29,1087
MAHARASHTRA,Government,8,12,15,8,1,5,1,0,3,49,0,9,4,8.29,1088
TAMIL NADU,Government,16,8,7,14,3,9,1,1,8,31,15,1,1,8.29,1089
RAJASTHAN,Private,14,9,6,9,1,10,1,0,1,21,16,6,6,8.29,1090
RAJASTHAN,Government,21,8,8,7,6,7,0,1,8,29,23,2,6,8.29,1091
MAHARASHTRA,Government,14,10,7,12,4,15,2,0,3,25,15,7,10,8.27,1092
UTTAR PRADESH,Private,9,9,6,8,4,7,0,0,4,12,11,8,5,8.27,1093
KARNATAKA,Government,14,8,15,7,7,6,2,0,8,23,10,5,8,8.27,1094
TELANGANA,Government,15,13,11,14,6,7,1,1,8,13,11,3,6,8.27,1095
UTTAR PRADESH,Government,15,9,14,10,3,9,0,0,6,23,17,1,4,8.27,1096
GUJARAT,Government,7,13,9,13,1,8,1,1,7,18,18,2,9,8.27,1097
ANDHRA PRADESH,Government,10,8,12,14,8,8,1,0,6,49,33,10,6,8.27,1098
JHARKHAND,Government,16,14,9,6,5,3,0,1,5,23,23,3,3,8.27,1099
MAHARASHTRA,Government,16,7,14,11,7,14,1,1,7,41,1,5,0,8.25,1100
HARYANA,Private,11,11,11,6,1,10,2,1,5,30,24,8,4,8.25,1101
TAMIL NADU,Government,12,9,9,6,4,10,0,0,1,45,3,5,10,8.25,1102
ANDHRA PRADESH,Government,17,4,7,5,7,7,1,0,2,28,17,4,8,8.25,1103
GUJARAT,Government,8,3,9,8,4,8,1,0,8,36,16,4,0,8.25,1104
TAMIL NADU,Government,16,16,7,8,2,9,2,0,2,22,16,7,0,8.25,1105
MADHYA PRADESH,Government,11,12,12,13,8,9,1,0,7,23,8,0,5,8.24,1106
ANDHRA PRADESH,Government,20,11,8,11,4,6,0,0,3,22,0,9,8,8.24,1107
TELANGANA,Private,16,6,10,5,3,8,0,0,4,50,3,0,5,8.24,1108
MAHARASHTRA,Government,13,8,12,10,1,11,1,0,8,48,3,1,6,8.24,1109
UTTAR PRADESH,Private,17,13,6,16,4,14,2,0,4,18,8,4,4,8.24,1110
ANDHRA PRADESH,Government,19,6,10,5,5,9,1,1,4,43,20,2,6,8.22,1111
MADHYA PRADESH,Government,17,4,8,7,2,7,1,1,5,28,4,7,1,8.22,1112
TAMIL NADU,Government,12,14,10,4,4,7,1,0,5,4,4,7,6,8.22,1113
HARYANA,Government,8,9,9,10,5,12,2,1,3,7,1,3,8,8.22,1114
UTTAR PRADESH,Private,8,8,8,9,2,13,1,0,4,48,6,7,10,8.22,1115
TAMIL NADU,Private,9,6,10,9,2,4,1,1,8,4,3,2,6,8.22,1116
ANDHRA PRADESH,Private,12,8,9,8,2,7,1,1,6,45,9,3,6,8.22,1117
KARNATAKA,Government,11,10,13,12,2,12,2,1,2,21,9,8,3,8.22,1118
TAMIL NADU,Private,7,5,12,12,3,9,1,1,7,7,3,5,8,8.21,1119
KARNATAKA,Government,13,11,4,6,3,11,2,0,7,13,5,0,0,8.21,1120
UTTAR PRADESH,Government,14,12,7,9,3,10,1,0,8,4,2,2,5,8.21,1121
UTTAR PRADESH,Government,8,10,4,4,1,13,2,1,7,25,9,2,4,8.21,1122
MAHARASHTRA,Government,9,4,4,8,3,8,1,0,8,3,1,6,8,8.21,1123
GUJARAT,Private,11,9,2,13,4,7,1,1,1,37,17,4,5,8.21,1124
UTTAR PRADESH,Government,19,14,10,7,4,10,2,0,8,26,9,10,6,8.21,1125
UTTAR PRADESH,Private,13,10,10,9,1,7,0,1,5,9,2,7,3,8.19,1126
ANDHRA PRADESH,Government,16,5,13,12,2,3,1,1,8,26,1,2,3,8.19,1127
TAMIL NADU,Government,16,2,6,14,7,6,2,0,4,36,6,4,9,8.19,1128
UTTAR PRADESH,Private,15,15,7,14,5,10,2,1,3,11,8,0,3,8.19,1129
UTTAR PRADESH,Private,17,7,11,5,4,8,1,1,5,15,0,4,3,8.19,1130
MADHYA PRADESH,Private,6,9,10,9,7,8,1,0,7,14,11,0,10,8.19,1131
TELANGANA,Government,14,9,5,6,5,14,2,1,6,37,0,9,6,8.19,1132
TAMIL NADU,Private,5,14,5,4,7,9,0,0,8,2,7,8,8,8.19,1133
TELANGANA,Private,17,7,12,10,6,10,2,0,5,27,15,3,9,8.19,1134
MADHYA PRADESH,Government,14,8,14,13,5,12,1,1,2,37,6,9,3,8.19,1135
KERALA,Government,11,13,14,15,2,10,1,1,3,43,25,0,9,8.17,1136
MAHARASHTRA,Government,18,4,7,8,7,14,0,1,2,17,7,0,7,8.17,1137
UTTAR PRADESH,Government,7,11,10,4,5,8,0,0,3,37,20,2,8,8.17,1138
ODISHA,Government,12,14,8,6,7,6,2,0,6,42,15,6,3,8.17,1139
TELANGANA,Government,10,8,9,7,2,10,1,0,4,26,0,10,9,8.16,1140
ANDHRA PRADESH,Private,8,10,8,8,6,11,0,0,4,31,1,9,4,8.16,1141
UTTAR PRADESH,Government,4,15,10,11,8,11,0,1,1,36,1,3,6,8.16,1142
MAHARASHTRA,Private,9,12,9,5,1,8,2,0,8,26,6,10,2,8.16,1143
TAMIL NADU,Government,16,13,4,5,3,9,2,1,7,33,5,5,3,8.16,1144
HARYANA,Government,13,10,12,13,6,5,0,1,2,38,3,1,7,8.16,1145
PUNJAB,Government,18,9,10,5,2,14,2,0,1,25,10,0,9,8.16,1146
RAJASTHAN,Government,23,6,12,13,4,12,1,0,4,49,20,9,1,8.14,1147
MAHARASHTRA,Private,16,11,8,12,5,11,2,1,1,12,11,0,7,8.14,1148
MADHYA PRADESH,Government,15,6,5,13,3,8,1,0,7,42,14,7,1,8.14,1149
UTTAR PRADESH,Government,15,8,5,8,7,11,2,1,8,13,3,10,1,8.14,1150
KERALA,Government,10,14,10,9,2,6,2,1,4,6,3,9,9,8.14,1151
TAMIL NADU,Private,12,7,8,12,7,7,1,1,8,9,0,7,1,8.14,1152
TAMIL NADU,Government,17,12,5,7,7,3,0,1,1,22,20,4,4,8.14,1153
UTTAR PRADESH,Government,11,12,8,8,3,7,1,1,4,44,24,0,4,8.14,1154
GUJARAT,Government,7,5,11,13,3,11,1,1,7,17,11,6,4,8.13,1155
MAHARASHTRA,Government,11,12,8,5,2,12,1,0,1,37,14,3,5,8.13,1156
GUJARAT,Private,11,6,3,11,5,5,2,0,7,33,8,2,2,8.13,1157
ANDHRA PRADESH,Government,13,5,8,16,7,6,2,0,2,35,5,5,8,8.13,1158
TAMIL NADU,Private,13,7,4,14,5,12,1,1,1,9,5,0,10,8.13,1159
ANDHRA PRADESH,Private,15,6,12,9,5,10,1,1,2,37,19,0,0,8.13,1160
MADHYA PRADESH,Government,15,6,8,11,5,12,0,1,7,38,16,10,10,8.13,1161
MAHARASHTRA,Government,18,5,5,13,4,13,2,1,7,36,35,1,1,8.13,1162
MAHARASHTRA,Private,17,11,6,13,7,5,1,0,8,1,1,9,4,8.11,1163
RAJASTHAN,Government,11,7,9,10,6,7,0,1,8,31,24,5,1,8.11,1164
MAHARASHTRA,Private,8,5,12,8,3,8,1,1,4,5,4,4,1,8.11,1165
TAMIL NADU,Government,15,16,12,10,2,3,1,1,3,5,5,1,8,8.11,1166
UTTAR PRADESH,Private,8,14,7,9,4,11,1,0,4,8,3,2,7,8.11,1167
TAMIL NADU,Private,17,8,3,7,4,6,1,1,5,7,0,3,7,8.1,1168
WEST BENGAL,Government,16,11,12,11,4,8,1,1,4,42,20,10,2,8.1,1169
UTTAR PRADESH,Private,17,5,12,9,3,14,1,1,8,24,3,5,8,8.1,1170
UTTAR PRADESH,Government,13,13,16,9,4,8,1,1,5,29,9,2,9,8.1,1171
DELHI,Private,12,9,7,15,5,7,1,1,7,26,19,3,8,8.1,1172
MAHARASHTRA,Government,11,5,8,12,3,4,1,0,2,44,8,3,10,8.1,1173
UTTAR PRADESH,Government,12,9,9,5,2,8,2,0,4,5,1,10,10,8.1,1174
JAMMU AND KASHMIR,Private,20,9,9,10,6,13,1,0,3,34,19,10,1,8.1,1175
RAJASTHAN,Government,9,6,4,11,8,8,0,1,5,41,1,3,7,8.08,1176
MAHARASHTRA,Private,8,4,4,11,2,12,1,0,4,19,19,8,0,8.08,1177
HARYANA,Government,10,12,11,14,8,12,1,1,5,23,21,3,2,8.08,1178
GUJARAT,Government,11,12,9,11,5,5,1,0,2,43,28,1,6,8.08,1179
TAMIL NADU,Government,15,4,5,14,6,8,0,1,1,48,16,5,9,8.08,1180
KARNATAKA,Government,17,9,5,8,8,8,1,0,3,17,6,9,3,8.08,1181
HARYANA,Government,15,8,10,11,5,3,2,0,4,33,16,2,10,8.06,1182
UTTAR PRADESH,Government,18,14,15,9,4,7,1,0,2,11,9,9,9,8.06,1183
MAHARASHTRA,Private,13,12,7,15,7,2,0,0,5,7,4,8,6,8.06,1184
MAHARASHTRA,Government,19,4,6,2,2,11,1,0,6,24,8,5,5,8.06,1185
MADHYA PRADESH,Private,13,8,3,12,3,10,0,0,5,0,0,2,8,8.06,1186
MAHARASHTRA,Private,13,2,6,8,7,9,0,0,2,30,8,2,6,8.05,1187
PUNJAB,Government,10,7,16,3,8,8,2,1,4,14,3,6,2,8.05,1188
MAHARASHTRA,Private,12,10,5,16,1,12,1,0,6,41,11,6,5,8.05,1189
MAHARASHTRA,Government,17,11,16,6,5,11,2,1,2,16,8,10,7,8.05,1190
ANDHRA PRADESH,Private,9,6,10,13,3,6,0,1,3,36,14,4,5,8.05,1191
TAMIL NADU,Government,13,9,10,9,5,5,0,0,1,25,15,1,2,8.03,1192
UTTAR PRADESH,Private,11,3,8,12,8,12,2,0,7,38,16,6,10,8.03,1193
GOA,Private,16,9,8,14,4,12,1,0,6,29,1,8,3,8.03,1194
KARNATAKA,Private,17,9,11,9,7,3,2,0,3,1,1,1,1,8.03,1195
KARNATAKA,Private,6,5,10,3,1,9,1,1,2,28,5,3,1,8.02,1196
TAMIL NADU,Government,17,8,8,6,6,10,0,1,5,44,10,4,8,8.02,1197
RAJASTHAN,Government,12,6,6,8,5,10,2,0,5,37,15,5,3,8.02,1198
MAHARASHTRA,Government,12,6,3,7,5,12,1,1,3,10,8,3,9,8.0,1199
TAMIL NADU,Government,12,3,14,9,8,12,1,0,6,7,3,0,4,8.0,1200
KARNATAKA,Government,11,13,11,11,1,11,2,0,3,33,5,0,6,8.0,1201
JHARKHAND,Government,13,11,8,10,8,11,2,1,1,26,15,4,0,8.0,1202
TAMIL NADU,Private,20,14,9,3,4,9,1,1,5,45,13,9,2,8.0,1203
TRIPURA,Government,15,6,9,14,8,11,2,0,7,28,4,2,1,8.0,1204
KARNATAKA,Private,12,5,12,8,6,9,2,1,5,16,1,10,5,8.0,1205
MAHARASHTRA,Government,14,8,10,9,7,10,2,0,7,46,16,1,8,7.98,1206
UTTAR PRADESH,Government,19,3,14,13,1,9,0,0,1,16,5,7,8,7.98,1207
MAHARASHTRA,Government,20,15,10,8,3,9,2,1,4,26,10,0,8,7.98,1208
ODISHA,Government,14,8,6,5,3,15,0,0,2,24,19,8,1,7.98,1209
UTTAR PRADESH,Government,15,2,7,8,1,10,1,0,5,46,24,10,1,7.98,1210
TELANGANA,Government,16,5,13,12,6,12,2,0,2,21,2,8,3,7.97,1211
TAMIL NADU,Government,20,8,4,13,1,10,0,1,6,21,3,2,3,7.97,1212
MAHARASHTRA,Government,11,3,6,8,5,4,2,1,8,0,0,7,10,7.97,1213
MAHARASHTRA,Private,13,5,4,8,4,11,0,1,8,7,1,5,6,7.97,1214
CHHATTISGARH,Government,10,14,9,13,4,13,0,1,5,3,2,7,9,7.97,1215
PONDICHERRY,Government,14,7,15,13,4,12,1,0,1,8,3,1,0,7.97,1216
TAMIL NADU,Government,11,12,9,8,3,8,2,1,8,1,1,8,7,7.97,1217
UTTAR PRADESH,Private,19,15,9,5,6,8,1,0,7,20,7,6,7,7.95,1218
UTTAR PRADESH,Private,11,13,10,7,6,9,2,0,5,11,4,10,1,7.95,1219
UTTAR PRADESH,Government,10,12,10,9,6,7,0,0,3,24,9,9,10,7.95,1220
TAMIL NADU,Government,13,4,10,9,4,6,0,0,8,35,18,7,1,7.95,1221
BIHAR,Private,15,6,9,12,7,12,1,1,4,16,3,7,0,7.95,1222
UTTAR PRADESH,Government,17,9,13,7,4,8,0,1,6,50,26,5,3,7.95,1223
PUNJAB,Government,19,6,5,9,3,4,1,0,5,30,28,5,2,7.95,1224
UTTAR PRADESH,Private,7,6,6,8,3,8,0,0,1,8,3,1,6,7.95,1225
TAMIL NADU,Private,15,10,11,9,5,10,1,1,7,4,1,8,0,7.95,1226
UTTAR PRADESH,Government,13,16,8,11,8,9,1,1,4,32,9,10,8,7.94,1227
MAHARASHTRA,Government,13,7,7,15,6,8,1,0,3,7,2,10,4,7.94,1228
TELANGANA,Private,12,4,7,10,2,7,1,0,1,3,3,5,3,7.94,1229
KERALA,Government,8,3,4,7,8,8,0,0,2,6,5,6,3,7.94,1230
ANDHRA PRADESH,Government,18,9,12,10,6,10,1,0,7,22,22,0,7,7.94,1231
ANDHRA PRADESH,Government,12,9,13,9,6,16,1,1,8,29,4,3,9,7.94,1232
KARNATAKA,Government,19,12,13,9,7,14,0,0,6,34,0,6,8,7.94,1233
KARNATAKA,Government,10,12,9,11,4,5,2,1,5,38,8,0,5,7.94,1234
GUJARAT,Private,17,10,7,8,5,6,1,1,4,3,3,2,9,7.94,1235
KARNATAKA,Private,19,12,4,9,5,8,2,0,5,7,1,4,2,7.94,1236
KERALA,Private,16,11,11,8,4,8,1,1,8,29,21,4,2,7.92,1237
TAMIL NADU,Private,8,9,8,8,5,12,0,1,7,21,15,2,9,7.92,1238
MAHARASHTRA,Private,11,4,11,10,7,14,2,0,5,11,0,10,5,7.92,1239
ANDHRA PRADESH,Government,18,6,15,9,7,8,0,0,3,19,8,9,3,7.92,1240
MAHARASHTRA,Government,15,14,6,7,6,9,1,1,6,5,1,0,7,7.92,1241
KARNATAKA,Government,15,8,5,7,8,6,1,1,2,6,1,9,7,7.92,1242
MADHYA PRADESH,Government,18,9,16,10,2,7,1,1,1,17,10,3,6,7.92,1243
PUNJAB,Government,12,9,4,6,5,10,0,1,1,7,3,5,4,7.92,1244
UTTAR PRADESH,Private,13,4,12,16,6,4,1,1,2,41,11,7,10,7.92,1245
TAMIL NADU,Government,10,8,4,11,6,8,1,1,6,22,17,9,2,7.9,1246
KERALA,Private,9,6,10,10,6,12,1,1,4,6,2,9,10,7.9,1247
UTTAR PRADESH,Government,10,5,11,14,1,9,2,1,7,30,3,0,6,7.9,1248
JAMMU AND KASHMIR,Private,7,7,8,13,1,9,2,0,1,24,2,7,8,7.9,1249
WEST BENGAL,Private,5,6,16,12,4,7,2,0,7,0,0,2,6,7.89,1250
UTTAR PRADESH,Government,18,7,11,15,6,11,2,0,6,31,9,2,8,7.89,1251
